Algorithm;Accuracy;Balanced Accuracy;Precision;Recall;Specificity;F1-score;False Alarm Rate;tn;fp;fn;tp;training_duration;evaluation_duration
AE;0.9766331911087036;0.9658440351486206;0.9903597831726074;0.9817344546318054;0.9499537348747253;0.9859981536865234;0.050046246498823166;16912.19921875;891.0;1703.800048828125;91539.6015625;10.814611434936523;1.3891280889511108
AE;0.9826542139053345;0.9692301750183105;0.990341305732727;0.988991379737854;0.9494689106941223;0.9896643757820129;0.050531066954135895;16903.80078125;899.4000244140625;1026.800048828125;92216.6015625;10.189610481262207;1.3680150508880615
AE;0.9811429977416992;0.96845942735672;0.9903823733329773;0.9871241450309753;0.9497948884963989;0.9887483716011047;0.05020517855882645;16909.400390625;893.7999877929688;1200.199951171875;92043.203125;10.086612701416016;1.346971035003662
AE;0.9707762002944946;0.9625200033187866;0.9903684854507446;0.9746557474136353;0.950384259223938;0.9822662472724915;0.04961571469902992;16920.0;883.2000122070312;2362.0;90881.3984375;10.148183822631836;1.3753633499145508
AE;0.973558783531189;0.9638093709945679;0.9902270436286926;0.9781759977340698;0.9494428634643555;0.9841080904006958;0.05055715888738632;16903.0;900.2000122070312;2036.0;91207.3984375;12.325621604919434;1.5792592763900757
AE;0.9819859266281128;0.9689247012138367;0.9903737902641296;0.9881534576416016;0.9496959447860718;0.9892606735229492;0.05030401796102524;16907.599609375;895.5999755859375;1104.800048828125;92138.6015625;13.829572677612305;1.7528247833251953
AE;0.9820165634155273;0.9690025448799133;0.9904009103775024;0.9881619215011597;0.9498430490493774;0.9892764091491699;0.050156958401203156;16910.19921875;893.0;1104.0;92139.3984375;14.217358589172363;1.7600778341293335
AE;0.9832664728164673;0.9699133634567261;0.9904961585998535;0.9895655512809753;0.9502612948417664;0.9900294542312622;0.04973872750997543;16917.80078125;885.4000244140625;972.7999877929688;92270.6015625;14.385022163391113;1.8079055547714233
AE;0.9832647442817688;0.9695526957511902;0.9903273582458496;0.9897373914718628;0.9493680000305176;0.9900311231613159;0.0506320521235466;16901.80078125;901.4000244140625;957.0;92286.3984375;13.983621597290039;1.8578675985336304
AE;0.9820669889450073;0.969044029712677;0.9904109239578247;0.9882110357284546;0.9498770833015442;0.9893088340759277;0.05012296512722969;16911.0;892.2000122070312;1099.199951171875;92144.203125;14.258523941040039;1.784409761428833
