Algorithm;Accuracy;Balanced Accuracy;Precision;Recall;Specificity;F1-score;False Alarm Rate;tn;fp;fn;tp;training_duration;evaluation_duration
KNN;0.9921492338180542;0.994417279958725;0.9995705783367157;0.9910696744918823;0.9977704584598541;0.9953052401542664;0.0022295343223959208;17763.5;39.69999885559082;832.7000122070312;92410.703125;0.2099560797214508;9.352312564849854
LR;0.9798985719680786;0.9690671563148499;0.9909960031509399;0.9850112795829773;0.9531257152557373;0.9879938960075378;0.04687429778277874;16968.7001953125;834.5;1397.5999755859375;91845.796875;1.035499632358551;0.0034057379234582186
SVM;0.9367528855800629;0.9315082728862762;0.9860509932041168;0.9528157114982605;0.9352736175060272;0.9594320952892303;0.06472639739513397;16653.7001953125;1149.4999694824219;4404.5;88838.8984375;198.6177520751953;52.535837173461914
RF;0.9950138628482819;0.99674391746521;0.9998641014099121;0.9942021071910858;0.9992920458316803;0.997022420167923;0.0007079236675053835;17790.599609375;12.600000381469727;540.5999755859375;92702.796875;46.179195404052734;0.6420060992240906
Bayes;0.9818075895309448;0.966420590877533;0.9892626404762268;0.9890693724155426;0.9437719881534576;0.9891659319400787;0.05622800439596176;16802.19921875;1001.0;1019.2000122070312;92224.203125;0.07015619054436684;0.009955048561096191
DT;0.9950326681137085;0.9968399107456207;0.9999051094055176;0.994177371263504;0.9995059370994568;0.9970334768295288;0.000494047038955614;17794.400390625;8.800000190734863;542.8999938964844;92700.5;0.4694892317056656;0.08393793180584908
AE;0.9820012450218201;0.968963623046875;0.9903711378574371;0.9881576895713806;0.9498189687728882;0.9892685413360596;0.0501810684800148;16909.7998046875;893.3999938964844;1104.4000244140625;92139.0;13.07759714126587;1.6660420298576355
MLP;0.9920871257781982;0.9941971004009247;0.9994797706604004;0.991094172000885;0.9972979128360748;0.9952683746814728;0.0027020686538890004;17755.1005859375;48.10000038146973;830.3999938964844;92413.0;101.05675506591797;0.24825339764356613
2DCNN;0.9907786846160889;0.9917698502540588;0.9986874461174011;0.9903491139411926;0.9931754171848297;0.9944856762886047;0.006824576063081622;17681.7998046875;121.4000015258789;899.8999938964844;92343.5;100.27790451049805;2.0100438594818115
