Algorithm;Accuracy;Balanced Accuracy;Precision;Recall;Specificity;F1-score;False Alarm Rate;tn;fp;fn;tp;training_duration;evaluation_duration
KNN;0.9921206116676331;0.9944325447082519;0.9995830833911896;0.9910295069217682;0.9978356182575225;0.9952878952026367;0.0021643961779773237;17764.6599609375;38.53999977111816;836.4400024414062;92406.9609375;0.21009142696857452;9.45741662979126
LR;0.9812017798423767;0.9732742369174957;0.9926112473011017;0.9849441587924957;0.9616043567657471;0.9887627959251404;0.03839565366506577;17119.5798828125;683.6199951171875;1403.8599975585937;91839.5390625;0.15475781857967377;0.002188620564993471
SVM;0.9910853564739227;0.9937032401561737;0.9995288968086242;0.9898497641086579;0.9975567102432251;0.9946657598018647;0.002443298604339361;17759.7;43.5;946.4399963378906;92296.96015625;18.10986270904541;14.925518703460693
rf;0.9949752449989319;0.9968075692653656;0.9999048471450805;0.9941104590892792;0.99950470328331;0.9969992101192474;0.000495304327341728;17794.380078125;8.82000002861023;549.1600036621094;92694.23984375;15.315182304382324;0.6523330211639404
Bayes;0.9818070828914642;0.9664219856262207;0.989262479543686;0.9890688359737396;0.9437751471996307;0.9891656160354614;0.05622485429048538;16802.19921875;1001.0;1019.2600158691406;92224.13984375;0.01845208154991269;0.010001788195222617
DT;0.9949194312095642;0.9968274474143982;0.999930077791214;0.9940186142921448;0.9996362388134002;0.9969655871391296;0.0003637525951489806;17796.719921875;6.480000019073486;557.6999938964843;92685.69921875;0.1597343310713768;0.09205258339643478
AE;0.9819661438465118;0.9690164983272552;0.9904212892055512;0.9880793511867523;0.949953681230545;0.9892313182353973;0.05004631392657757;16912.200390625;891.0;1111.5999938964844;92131.80078125;11.572529792785645;1.5036381125450133
MLP;0.9918122708797454;0.9944605827331543;0.9996837675571442;0.9905623257160187;0.9983588457107544;0.9951020658016205;0.0016411435673944653;17773.9802734375;29.219999504089355;880.0000061035156;92363.4015625;59.78067893981934;0.17700044214725494
2DCNN;0.98745698928833;0.9895053029060363;0.9985545039176941;0.986490786075592;0.9925198435783387;0.9924852311611175;0.007480149669572711;17670.0;133.2;1259.6599853515625;91983.740625;33.3391414642334;2.007936990261078
