Algorithm;Accuracy;Balanced Accuracy;Precision;Recall;Specificity;F1-score;False Alarm Rate;tn;fp;fn;tp;training_duration;evaluation_duration
KNN;0.000024519080608307142;0.000051967519596918306;0.000022505961956345484;0.00003340083247119771;0.00011672295421576466;0.000014725416994291436;0.00011670637057190387;2.080589511912839;2.0807051725062506;3.1124096895833353;3.1129847137634648;0.004814786933324485;0.4645890382684628
LR;6.178906236370779e-6;0.00001834038460328305;7.332477705776265e-6;5.463827739631272e-6;0.00003815574677544861;3.693671617580879e-6;0.00003818868877363825;0.6827502546495804;0.6828000653364288;0.5081592303681571;0.5073515536177389;0.029599048541844794;0.0004660892902091856
SVM;0.00007177089222211138;0.00003601831140024893;0.00001575231971119671;0.00009527206226160759;0.00008144860851427847;0.00004319848931720123;0.0000814566708242026;1.4584168037868008;1.4583097096304418;8.886342175342858;8.887052477708032;0.5731218437666658;0.36379355138828373
rf;0.000017154364500189443;0.000027137253570893915;0.000010200048197733875;0.00001884435929677765;0.000053066116745470967;0.000010249782739801943;0.000053080796731785005;0.944856481491406;0.9449280474057163;1.7633230447710322;1.763611384044765;0.9436529900967395;0.019810292728419457
Bayes;2.4241257800943795e-6;2.000720364394024e-6;1.4613608955091866e-7;2.8902960868629128e-6;3.2767800662000328e-6;1.5075773161327327e-6;3.2802685709094896e-6;0.0;0.0;0.2675150287949231;0.26655398213237225;0.001970930828387204;0.0007207617505609849
DT;0.000026512415787927295;0.000023088305374274594;5.592713697260703e-6;0.000029845246556606755;0.000028971992189072944;0.000015895863321614056;0.000028958090585166958;0.5183209259739735;0.5181162837039089;2.782892237181668;2.7814188511868987;0.005070287349162644;0.00595095185081123
AE;0.003220468250403851;0.001888925533808135;0.00003521640338861754;0.00384411530952693;0.00014705976360753823;0.001989482958941892;0.00014705831604491408;2.664882253622614;2.664998257460809;358.8372540742789;358.8386494333847;3.1056407500188308;0.2869029726479016
MLP;0.00012717734868146266;0.000048571068839611264;0.000026058801833302663;0.00017203843237432076;0.00013558451268711133;0.00007651837981617631;0.00013558447862813334;2.413860129577825;2.413756782166214;16.045765084552514;16.04629820179417;8.543496088562703;0.048736177637111924
2DCNN;0.0005153870265188866;0.0002563736496111796;0.00017664324115840359;0.0007523033375589147;0.0009209304492468452;0.0003121342743768335;0.0009209498336734898;16.39179536438923;16.391869056796335;70.14523914770189;70.14628103664919;2.287890348299225;0.1602606899015303
