Algorithm;Accuracy;Balanced Accuracy;Precision;Recall;Specificity;F1-score;False Alarm Rate;tn;fp;fn;tp;training_duration;evaluation_duration
KNN;0.9921258687973022;0.9944459199905396;0.9995867311954498;0.9910224080085754;0.9978564083576202;0.9952910244464874;0.0021435829112306237;17765.0;38.20000076293945;837.0999755859375;92406.296875;0.2084520310163498;9.204885959625244
LR;0.9812007546424866;0.973271369934082;0.9926114082336426;0.984942615032196;0.9616022706031799;0.9887621998786926;0.03839774616062641;17119.599609375;683.5999755859375;1404.0;91839.3984375;0.14632157981395721;0.0021291495067998767
SVM;0.9910983145236969;0.993699461221695;0.9995321035385132;0.9898641109466553;0.9975728392601013;0.9946735203266144;0.0024271830916404724;17760.0;43.19999885559082;945.0999755859375;92298.296875;18.21110248565674;14.976181030273438
rf;0.9949778020381927;0.9968109726905823;0.9999061524868011;0.9941174387931824;0.9995112419128418;0.9970007538795471;0.0004887363320449367;17794.5;8.700000286102295;548.5;92694.8984375;15.062192440032959;0.6475155055522919
Bayes;0.9818058013916016;0.9664219319820404;0.9892624616622925;0.9890673160552979;0.9437748491764069;0.9891648292541504;0.05622517131268978;16802.19921875;1001.0;1019.4000244140625;92224.0;0.017901968210935593;0.010149764828383923
DT;0.9949210584163666;0.9968238174915314;0.9999277293682098;0.9940207898616791;0.9996240139007568;0.9969665706157684;0.000375958887161687;17796.5;6.700000047683716;557.5;92685.8984375;0.16152340918779373;0.0903896801173687
AE;0.9830161333084106;0.9696636199951172;0.9904230535030365;0.9893175959587097;0.9499228000640869;0.9898797273635864;0.05007719434797764;16911.6005859375;891.6000061035156;996.0;92247.40234375;10.492318630218506;1.4012574553489685
MLP;0.991797149181366;0.9944672584533691;0.9996828734874725;0.9905568063259125;0.9983547627925873;0.9950929582118988;0.0016452122363261878;17773.8994140625;29.300000190734863;880.5;92362.90234375;57.70567512512207;0.1504334732890129
2DCNN;0.9873791337013245;0.9895298779010773;0.9985491633415222;0.9864074289798737;0.9924976825714111;0.992438405752182;0.0075022815726697445;17669.5;133.6999969482422;1267.5;91975.90234375;33.180158615112305;1.9458012580871582
