Algorithm;Accuracy;Balanced Accuracy;Precision;Recall;Specificity;F1-score;False Alarm Rate;tn;fp;fn;tp;training_duration;evaluation_duration
SVM;0.9844443202018738;0.9830976724624634;0.996353030204773;0.9850798845291138;0.9811155200004578;0.9906843900680542;0.018884506076574326;17467.0;336.20001220703125;1391.199951171875;91852.203125;82.71788024902344;46.84577941894531
SVM;0.9844840168952942;0.9832195043563843;0.9963983297348022;0.9850819706916809;0.9813569784164429;0.9907077550888062;0.018642954528331757;17471.19921875;332.0;1391.0;91852.3984375;157.43310546875;51.562889099121094
SVM;0.9844317436218262;0.9830621480941772;0.996340274810791;0.9850777387619019;0.9810463786125183;0.990676999092102;0.018953662365674973;17465.80078125;337.3999938964844;1391.4000244140625;91852.0;122.50486755371094;49.84056854248047
SVM;0.9844858050346375;0.9832156300544739;0.9963960647583008;0.9850862622261047;0.9813451766967773;0.9907088279724121;0.018654827028512955;17471.0;332.20001220703125;1390.5999755859375;91852.796875;130.7410888671875;48.924644470214844
SVM;0.984523594379425;0.9833319783210754;0.9964417219161987;0.9850866198539734;0.9815772771835327;0.9907315969467163;0.018422657623887062;17475.19921875;328.0;1390.5999755859375;91852.796875;72.44577026367188;43.87491989135742
SVM;0.9845326542854309;0.9833599328994751;0.9964526295661926;0.9850864410400391;0.9816333651542664;0.9907368421554565;0.018366660922765732;17476.19921875;327.0;1390.5999755859375;91852.796875;74.45906829833984;45.14466094970703
SVM;0.984464168548584;0.9831525683403015;0.9963749051094055;0.985081672668457;0.981223464012146;0.9906959533691406;0.01877652108669281;17469.0;334.20001220703125;1391.0;91852.3984375;73.17145538330078;45.935150146484375
SVM;0.9844497442245483;0.9831048846244812;0.9963553547859192;0.9850842356681824;0.9811256527900696;0.9906877279281616;0.018874362111091614;17467.19921875;336.0;1390.800048828125;91852.6015625;77.0891342163086;44.85704803466797
SVM;0.9845325350761414;0.9833563566207886;0.9964504241943359;0.9850885272026062;0.9816242456436157;0.9907367825508118;0.018375834450125694;17476.0;327.20001220703125;1390.4000244140625;91853.0;69.9146728515625;43.65937805175781
SVM;0.9844228029251099;0.9830314517021179;0.9963271021842957;0.9850797653198242;0.9809830784797668;0.9906715154647827;0.019016945734620094;17464.599609375;338.6000061035156;1391.199951171875;91852.203125;71.81507873535156;43.377296447753906
